subnum,group,block,trial,cue,flank,location,direction,rt,error
5,Treatment,1,1,None,Neutral,up,left,468.59520048711704,0
5,Treatment,1,2,Center,Neutral,up,left,322.04410349162293,0
5,Treatment,1,3,Double,Neutral,up,left,363.10422361648324,0
5,Treatment,1,4,Spatial,Neutral,up,left,278.89033369888733,0
5,Treatment,1,5,None,Congruent,up,left,435.84031064628175,0
5,Treatment,1,6,Center,Congruent,up,left,373.37501859932394,0
5,Treatment,1,7,Double,Congruent,up,left,373.31576119811825,0
5,Treatment,1,8,Spatial,Congruent,up,left,308.8836790886265,0
5,Treatment,1,9,None,Incongruent,up,left,464.5318269223536,0
5,Treatment,1,10,Center,Incongruent,up,left,493.57227072043725,0
5,Treatment,1,11,Double,Incongruent,up,left,450.25690095185837,0
5,Treatment,1,12,Spatial,Incongruent,up,left,400.65323662130714,0
5,Treatment,1,13,None,Neutral,down,left,269.34057337895854,1
5,Treatment,1,14,Center,Neutral,down,left,316.21906484180755,1
5,Treatment,1,15,Double,Neutral,down,left,413.14531589431897,0
5,Treatment,1,16,Spatial,Neutral,down,left,319.65924282785966,0
5,Treatment,1,17,None,Congruent,down,left,369.5841108059695,0
5,Treatment,1,18,Center,Congruent,down,left,358.0338671560825,0
5,Treatment,1,19,Double,Congruent,down,left,356.2209627028511,0
5,Treatment,1,20,Spatial,Congruent,down,left,314.9278802426646,0
5,Treatment,1,21,None,Incongruent,down,left,524.8306287889377,0
5,Treatment,1,22,Center,Incongruent,down,left,526.0440469114465,0
5,Treatment,1,23,Double,Incongruent,down,left,494.40459139056793,0
5,Treatment,1,24,Spatial,Incongruent,down,left,472.3061266985536,0
5,Treatment,1,25,None,Neutral,up,right,413.50663362507584,0
5,Treatment,1,26,Center,Neutral,up,right,422.2172356994472,0
5,Treatment,1,27,Double,Neutral,up,right,325.94621223768416,0
5,Treatment,1,28,Spatial,Neutral,up,right,333.03892974412713,0
5,Treatment,1,29,None,Congruent,up,right,539.2718953236748,1
5,Treatment,1,30,Center,Congruent,up,right,379.35859950606965,1
5,Treatment,1,31,Double,Congruent,up,right,359.7345537014656,0
5,Treatment,1,32,Spatial,Congruent,up,right,310.7893269673847,0
5,Treatment,1,33,None,Incongruent,up,right,538.5634250936331,0
5,Treatment,1,34,Center,Incongruent,up,right,555.3094680880897,0
5,Treatment,1,35,Double,Incongruent,up,right,465.6078518423518,1
5,Treatment,1,36,Spatial,Incongruent,up,right,396.93675609530214,0
5,Treatment,1,37,None,Neutral,down,right,533.6891823001845,0
