subnum,group,block,trial,cue,flank,location,direction,rt,error
20,Control,1,1,None,Neutral,up,left,392.51511809349347,0
20,Control,1,2,Center,Neutral,up,left,372.7351097588301,0
20,Control,1,3,Double,Neutral,up,left,278.45310602125005,0
20,Control,1,4,Spatial,Neutral,up,left,311.1780800332445,0
20,Control,1,5,None,Congruent,up,left,438.9847506870188,1
20,Control,1,6,Center,Congruent,up,left,327.07062256938525,0
20,Control,1,7,Double,Congruent,up,left,332.3540449464165,0
20,Control,1,8,Spatial,Congruent,up,left,344.5656223345791,0
20,Control,1,9,None,Incongruent,up,left,509.0788496092437,0
20,Control,1,10,Center,Incongruent,up,left,519.7280932823878,0
20,Control,1,11,Double,Incongruent,up,left,454.99883820250665,0
20,Control,1,12,Spatial,Incongruent,up,left,422.9581792855122,1
20,Control,1,13,None,Neutral,down,left,401.1096281091989,0
20,Control,1,14,Center,Neutral,down,left,340.72321069245174,0
20,Control,1,15,Double,Neutral,down,left,473.65697633251955,0
20,Control,1,16,Spatial,Neutral,down,left,307.97953155847904,0
20,Control,1,17,None,Congruent,down,left,400.5710126138898,0
20,Control,1,18,Center,Congruent,down,left,444.936185020704,0
20,Control,1,19,Double,Congruent,down,left,357.7431489012865,0
20,Control,1,20,Spatial,Congruent,down,left,331.041545814735,1
20,Control,1,21,None,Incongruent,down,left,468.39055320780466,0
20,Control,1,22,Center,Incongruent,down,left,472.02857406175644,0
20,Control,1,23,Double,Incongruent,down,left,467.0943377854113,0
20,Control,1,24,Spatial,Incongruent,down,left,387.82819607088544,0
20,Control,1,25,None,Neutral,up,right,353.814140959659,0
20,Control,1,26,Center,Neutral,up,right,437.8116229969445,0
20,Control,1,27,Double,Neutral,up,right,315.1437673208184,0
20,Control,1,28,Spatial,Neutral,up,right,254.18319375240924,0
20,Control,1,29,None,Congruent,up,right,373.10650763204427,0
20,Control,1,30,Center,Congruent,up,right,332.4094758081639,0
20,Control,1,31,Double,Congruent,up,right,455.96297429277786,0
20,Control,1,32,Spatial,Congruent,up,right,348.39067929653055,0
20,Control,1,33,None,Incongruent,up,right,454.59110989231243,0
20,Control,1,34,Center,Incongruent,up,right,547.0897938466276,0
20,Control,1,35,Double,Incongruent,up,right,476.1021724768031,0
20,Control,1,36,Spatial,Incongruent,up,right,399.6497272542138,0
20,Control,1,37,None,Neutral,down,right,374.01217428644946,0
20,Control,1,38,Center,Neutral,down,right,328.6050730341464,0
20,Control,1,39,Double,Neutral,down,right,390.7017233039602,0
20,Control,1,40,Spatial,Neutral,down,right,291.5898353088634,0
20,Control,1,41,None,Congruent,down,right,415.74852216207796,1
20,Control,1,42,Center,Congruent,down,right,365.95722389722516,0
20,Control,1,43,Double,Congruent,down,right,368.9849728636286,0
20,Control,1,44,Spatial,Congruent,down,right,401.93694479789247,0
20,Control,1,45,None,Incongruent,down,right,422.9536664862541,0
20,Control,1,46,Center,Incongruent,down,right,469.12017918693965,0
20,Control,1,47,Double,Incongruent,down,right,416.30703128152544,0
20,Control,1,48,Spatial,Incongruent,down,right,429.5340645119977,0
20,Control,2,1,None,Neutral,up,left,428.57470600675407,0
20,Control,2,2,Center,Neutral,up,left,343.68361987553124,0
20,Control,2,3,Double,Neutral,up,left,401.1277948504561,0
20,Control,2,4,Spatial,Neutral,up,left,295.670810365412,1
20,Control,2,5,None,Congruent,up,left,421.87810934412977,0
20,Control,2,6,Center,Congruent,up,left,471.313543408686,0
20,Control,2,7,Double,Congruent,up,left,462.7848307035306,0
20,Control,2,8,Spatial,Congruent,up,left,453.5040364285185,0
20,Control,2,9,None,Incongruent,up,left,523.3213397063873,0
20,Control,2,10,Center,Incongruent,up,left,431.8727419496681,0
20,Control,2,11,Double,Incongruent,up,left,456.85764055882953,0
20,Control,2,12,Spatial,Incongruent,up,left,348.29430740822124,0
20,Control,2,13,None,Neutral,down,left,355.9470174539947,0
20,Control,2,14,Center,Neutral,down,left,408.61620942534125,0
20,Control,2,15,Double,Neutral,down,left,349.6826623093316,0
20,Control,2,16,Spatial,Neutral,down,left,288.4808436534827,0
20,Control,2,17,None,Congruent,down,left,393.58627090640573,0
20,Control,2,18,Center,Congruent,down,left,334.2160084390467,0
20,Control,2,19,Double,Congruent,down,left,453.7501876446345,0
20,Control,2,20,Spatial,Congruent,down,left,483.0795905704447,0
20,Control,2,21,None,Incongruent,down,left,464.490266618894,1
20,Control,2,22,Center,Incongruent,down,left,514.1504876405485,0
20,Control,2,23,Double,Incongruent,down,left,461.1056805920046,0
20,Control,2,24,Spatial,Incongruent,down,left,398.28529887555567,0
20,Control,2,25,None,Neutral,up,right,404.9918799350601,0
20,Control,2,26,Center,Neutral,up,right,326.69080437279655,0
20,Control,2,27,Double,Neutral,up,right,376.7254138180375,0
20,Control,2,28,Spatial,Neutral,up,right,365.7552421631875,0
20,Control,2,29,None,Congruent,up,right,414.5813074443513,0
20,Control,2,30,Center,Congruent,up,right,395.480319894977,1
20,Control,2,31,Double,Congruent,up,right,337.58973391312753,0
20,Control,2,32,Spatial,Congruent,up,right,282.75188596683006,0
20,Control,2,33,None,Incongruent,up,right,443.36608369726326,0
20,Control,2,34,Center,Incongruent,up,right,511.17484766122345,0
20,Control,2,35,Double,Incongruent,up,right,443.92225211447175,0
20,Control,2,36,Spatial,Incongruent,up,right,490.58536431026096,0
20,Control,2,37,None,Neutral,down,right,447.158820051696,0
20,Control,2,38,Center,Neutral,down,right,317.9436193511042,0
20,Control,2,39,Double,Neutral,down,right,370.2258954436102,0
20,Control,2,40,Spatial,Neutral,down,right,445.3970967706407,0
20,Control,2,41,None,Congruent,down,right,335.47505229040866,0
20,Control,2,42,Center,Congruent,down,right,389.2119025908537,0
20,Control,2,43,Double,Congruent,down,right,302.18856233005636,0
20,Control,2,44,Spatial,Congruent,down,right,433.36846438878524,0
20,Control,2,45,None,Incongruent,down,right,479.75965683560383,0
20,Control,2,46,Center,Incongruent,down,right,424.7145905028788,0
20,Control,2,47,Double,Incongruent,down,right,475.42501612528616,0
20,Control,2,48,Spatial,Incongruent,down,right,395.1772711688783,1
20,Control,3,1,None,Neutral,up,left,449.75537763936677,0
20,Control,3,2,Center,Neutral,up,left,259.3547097475911,0
20,Control,3,3,Double,Neutral,up,left,308.45010546438033,0
20,Control,3,4,Spatial,Neutral,up,left,253.2280901224063,0
20,Control,3,5,None,Congruent,up,left,450.1043551396382,0
20,Control,3,6,Center,Congruent,up,left,403.14143523235623,0
20,Control,3,7,Double,Congruent,up,left,303.5483605480808,0
20,Control,3,8,Spatial,Congruent,up,left,339.666560166568,0
20,Control,3,9,None,Incongruent,up,left,391.2776704864774,0
20,Control,3,10,Center,Incongruent,up,left,504.28668723450335,0
20,Control,3,11,Double,Incongruent,up,left,526.2281585634596,0
20,Control,3,12,Spatial,Incongruent,up,left,389.1379666604685,0
20,Control,3,13,None,Neutral,down,left,407.5043189671565,0
20,Control,3,14,Center,Neutral,down,left,405.53821759957964,0
20,Control,3,15,Double,Neutral,down,left,386.53306857570897,0
20,Control,3,16,Spatial,Neutral,down,left,410.700720682275,0
20,Control,3,17,None,Congruent,down,left,480.1453423817535,1
20,Control,3,18,Center,Congruent,down,left,491.0142939787395,0
20,Control,3,19,Double,Congruent,down,left,311.0498643029421,0
20,Control,3,20,Spatial,Congruent,down,left,362.9515255330209,0
20,Control,3,21,None,Incongruent,down,left,526.2975449778198,0
20,Control,3,22,Center,Incongruent,down,left,464.90472556060695,0
20,Control,3,23,Double,Incongruent,down,left,361.8699063032586,0
20,Control,3,24,Spatial,Incongruent,down,left,384.33787466939697,0
20,Control,3,25,None,Neutral,up,right,407.79988011358495,0
20,Control,3,26,Center,Neutral,up,right,459.23811337525467,1
20,Control,3,27,Double,Neutral,up,right,373.7674458337688,0
20,Control,3,28,Spatial,Neutral,up,right,314.2652789931001,0
20,Control,3,29,None,Congruent,up,right,404.3003483280849,0
20,Control,3,30,Center,Congruent,up,right,373.09576322402415,0
20,Control,3,31,Double,Congruent,up,right,341.8322578494895,0
20,Control,3,32,Spatial,Congruent,up,right,368.50901876411376,0
20,Control,3,33,None,Incongruent,up,right,534.659921378053,1
20,Control,3,34,Center,Incongruent,up,right,470.176729601039,0
20,Control,3,35,Double,Incongruent,up,right,496.3869317824326,0
20,Control,3,36,Spatial,Incongruent,up,right,437.9209684579221,1
20,Control,3,37,None,Neutral,down,right,387.5754618344647,0
20,Control,3,38,Center,Neutral,down,right,399.6605045021779,0
20,Control,3,39,Double,Neutral,down,right,411.98114272775456,0
20,Control,3,40,Spatial,Neutral,down,right,361.7281568682033,0
20,Control,3,41,None,Congruent,down,right,452.896762831504,0
20,Control,3,42,Center,Congruent,down,right,357.3934900352366,0
20,Control,3,43,Double,Congruent,down,right,356.64721601881485,0
20,Control,3,44,Spatial,Congruent,down,right,320.2123354993506,0
20,Control,3,45,None,Incongruent,down,right,501.1700117236909,0
20,Control,3,46,Center,Incongruent,down,right,460.5228093831925,0
20,Control,3,47,Double,Incongruent,down,right,499.1188359029287,0
20,Control,3,48,Spatial,Incongruent,down,right,447.9348531174704,0
20,Control,4,1,None,Neutral,up,left,438.53811407236645,0
20,Control,4,2,Center,Neutral,up,left,467.75179178597455,0
20,Control,4,3,Double,Neutral,up,left,310.4497292599208,0
20,Control,4,4,Spatial,Neutral,up,left,407.51115207115004,1
20,Control,4,5,None,Congruent,up,left,489.0990218857513,0
20,Control,4,6,Center,Congruent,up,left,316.81932247347675,0
20,Control,4,7,Double,Congruent,up,left,296.6381488319034,0
20,Control,4,8,Spatial,Congruent,up,left,251.65479978339386,1
20,Control,4,9,None,Incongruent,up,left,551.5691378376698,0
20,Control,4,10,Center,Incongruent,up,left,488.48613605826387,0
20,Control,4,11,Double,Incongruent,up,left,392.8285137640697,1
20,Control,4,12,Spatial,Incongruent,up,left,397.5466930138757,0
20,Control,4,13,None,Neutral,down,left,404.6534139567335,0
20,Control,4,14,Center,Neutral,down,left,378.61452554962864,0
20,Control,4,15,Double,Neutral,down,left,362.58750736388157,0
20,Control,4,16,Spatial,Neutral,down,left,320.6522774969396,0
20,Control,4,17,None,Congruent,down,left,530.0593420886196,0
20,Control,4,18,Center,Congruent,down,left,422.60576997072747,0
20,Control,4,19,Double,Congruent,down,left,455.1735752681177,0
20,Control,4,20,Spatial,Congruent,down,left,320.4570798658131,0
20,Control,4,21,None,Incongruent,down,left,374.2907343376509,0
20,Control,4,22,Center,Incongruent,down,left,509.59255659418216,0
20,Control,4,23,Double,Incongruent,down,left,437.8925299796763,0
20,Control,4,24,Spatial,Incongruent,down,left,495.10036430285095,0
20,Control,4,25,None,Neutral,up,right,274.0441242560993,0
20,Control,4,26,Center,Neutral,up,right,402.3685493917933,0
20,Control,4,27,Double,Neutral,up,right,442.11910843076123,0
20,Control,4,28,Spatial,Neutral,up,right,365.98743658502076,0
20,Control,4,29,None,Congruent,up,right,362.8528949322057,0
20,Control,4,30,Center,Congruent,up,right,374.69372647791613,0
20,Control,4,31,Double,Congruent,up,right,384.82310602797804,1
20,Control,4,32,Spatial,Congruent,up,right,439.67412992609775,0
20,Control,4,33,None,Incongruent,up,right,505.00990720439415,0
20,Control,4,34,Center,Incongruent,up,right,471.72609165386297,0
20,Control,4,35,Double,Incongruent,up,right,452.54233144198486,0
20,Control,4,36,Spatial,Incongruent,up,right,415.42559397764205,0
20,Control,4,37,None,Neutral,down,right,433.8944390147193,0
20,Control,4,38,Center,Neutral,down,right,456.4325942086434,0
20,Control,4,39,Double,Neutral,down,right,397.4069390439132,0
20,Control,4,40,Spatial,Neutral,down,right,310.75362519420804,0
20,Control,4,41,None,Congruent,down,right,401.2040490065015,0
20,Control,4,42,Center,Congruent,down,right,444.4318008291028,0
20,Control,4,43,Double,Congruent,down,right,310.6798406056546,0
20,Control,4,44,Spatial,Congruent,down,right,327.8295983695428,0
20,Control,4,45,None,Incongruent,down,right,528.14019739964,0
20,Control,4,46,Center,Incongruent,down,right,492.8223791535502,1
20,Control,4,47,Double,Incongruent,down,right,361.1830504749471,0
20,Control,4,48,Spatial,Incongruent,down,right,437.900295899483,0
20,Control,5,1,None,Neutral,up,left,413.24902662741624,1
20,Control,5,2,Center,Neutral,up,left,462.13538309233707,0
20,Control,5,3,Double,Neutral,up,left,453.506941841237,0
20,Control,5,4,Spatial,Neutral,up,left,444.09891318834775,0
20,Control,5,5,None,Congruent,up,left,398.3687008606154,0
20,Control,5,6,Center,Congruent,up,left,374.17770758925076,0
20,Control,5,7,Double,Congruent,up,left,293.65596213077697,0
20,Control,5,8,Spatial,Congruent,up,left,331.1480088211659,0
20,Control,5,9,None,Incongruent,up,left,461.9207102414093,0
20,Control,5,10,Center,Incongruent,up,left,380.28473414690995,0
20,Control,5,11,Double,Incongruent,up,left,443.11222300986645,0
20,Control,5,12,Spatial,Incongruent,up,left,378.6229822878005,0
20,Control,5,13,None,Neutral,down,left,408.7418804268559,0
20,Control,5,14,Center,Neutral,down,left,418.30367791934566,0
20,Control,5,15,Double,Neutral,down,left,386.383768793198,0
20,Control,5,16,Spatial,Neutral,down,left,353.10620547665735,0
20,Control,5,17,None,Congruent,down,left,428.0646666043638,0
20,Control,5,18,Center,Congruent,down,left,399.53546947526877,0
20,Control,5,19,Double,Congruent,down,left,410.4684310328503,0
20,Control,5,20,Spatial,Congruent,down,left,439.74678866934835,0
20,Control,5,21,None,Incongruent,down,left,515.7834116332774,0
20,Control,5,22,Center,Incongruent,down,left,492.74991328879753,0
20,Control,5,23,Double,Incongruent,down,left,471.25661767917404,0
20,Control,5,24,Spatial,Incongruent,down,left,339.74627840271984,1
20,Control,5,25,None,Neutral,up,right,441.613412279591,0
20,Control,5,26,Center,Neutral,up,right,331.5900406762291,0
20,Control,5,27,Double,Neutral,up,right,427.72619642735333,0
20,Control,5,28,Spatial,Neutral,up,right,284.78384266340106,0
20,Control,5,29,None,Congruent,up,right,381.20085962715973,0
20,Control,5,30,Center,Congruent,up,right,423.06962507132096,0
20,Control,5,31,Double,Congruent,up,right,420.12755888255015,0
20,Control,5,32,Spatial,Congruent,up,right,415.2480161062474,0
20,Control,5,33,None,Incongruent,up,right,589.3901866323524,0
20,Control,5,34,Center,Incongruent,up,right,492.1121992732287,0
20,Control,5,35,Double,Incongruent,up,right,496.4719749705324,0
20,Control,5,36,Spatial,Incongruent,up,right,439.55512390858587,0
20,Control,5,37,None,Neutral,down,right,413.3858496546643,0
20,Control,5,38,Center,Neutral,down,right,342.180155463046,0
20,Control,5,39,Double,Neutral,down,right,376.3505984018033,0
20,Control,5,40,Spatial,Neutral,down,right,329.40106490851645,0
20,Control,5,41,None,Congruent,down,right,389.62865826210185,0
20,Control,5,42,Center,Congruent,down,right,446.35447327990937,0
20,Control,5,43,Double,Congruent,down,right,277.0245770502669,0
20,Control,5,44,Spatial,Congruent,down,right,333.1947983825065,0
20,Control,5,45,None,Incongruent,down,right,470.4898648674679,0
20,Control,5,46,Center,Incongruent,down,right,448.8173468764543,0
20,Control,5,47,Double,Incongruent,down,right,484.27147598884443,0
20,Control,5,48,Spatial,Incongruent,down,right,364.078740245536,1
20,Control,6,1,None,Neutral,up,left,502.5678804672698,0
20,Control,6,2,Center,Neutral,up,left,313.9436146740305,0
20,Control,6,3,Double,Neutral,up,left,438.40255055650005,0
20,Control,6,4,Spatial,Neutral,up,left,378.3527719460444,1
20,Control,6,5,None,Congruent,up,left,525.7439558839251,0
20,Control,6,6,Center,Congruent,up,left,434.0644931807591,1
20,Control,6,7,Double,Congruent,up,left,434.4720212281428,0
20,Control,6,8,Spatial,Congruent,up,left,435.72986521921996,0
20,Control,6,9,None,Incongruent,up,left,472.9317690378251,0
20,Control,6,10,Center,Incongruent,up,left,469.29423846801456,0
20,Control,6,11,Double,Incongruent,up,left,503.37596940732067,0
20,Control,6,12,Spatial,Incongruent,up,left,432.40148453525126,0
20,Control,6,13,None,Neutral,down,left,509.3668800324781,0
20,Control,6,14,Center,Neutral,down,left,345.9229501485887,0
20,Control,6,15,Double,Neutral,down,left,321.06116609325625,0
20,Control,6,16,Spatial,Neutral,down,left,411.08904790899373,0
20,Control,6,17,None,Congruent,down,left,435.5896117561584,0
20,Control,6,18,Center,Congruent,down,left,402.61603797699297,0
20,Control,6,19,Double,Congruent,down,left,419.11325577837306,0
20,Control,6,20,Spatial,Congruent,down,left,312.6769991599771,0
20,Control,6,21,None,Incongruent,down,left,521.7375181500609,0
20,Control,6,22,Center,Incongruent,down,left,434.3098496369999,0
20,Control,6,23,Double,Incongruent,down,left,475.9626702037846,0
20,Control,6,24,Spatial,Incongruent,down,left,441.5342534749242,0
20,Control,6,25,None,Neutral,up,right,403.9691851647879,0
20,Control,6,26,Center,Neutral,up,right,371.08903948265765,0
20,Control,6,27,Double,Neutral,up,right,449.73980316022426,0
20,Control,6,28,Spatial,Neutral,up,right,317.26444838874806,0
20,Control,6,29,None,Congruent,up,right,439.6669736284283,0
20,Control,6,30,Center,Congruent,up,right,363.63305570491826,1
20,Control,6,31,Double,Congruent,up,right,308.8092586097295,0
20,Control,6,32,Spatial,Congruent,up,right,358.3125818901516,0
20,Control,6,33,None,Incongruent,up,right,417.73647215733786,0
20,Control,6,34,Center,Incongruent,up,right,485.92292686022694,0
20,Control,6,35,Double,Incongruent,up,right,491.7219593628987,0
20,Control,6,36,Spatial,Incongruent,up,right,353.5741160654762,0
20,Control,6,37,None,Neutral,down,right,445.922335614051,0
20,Control,6,38,Center,Neutral,down,right,344.29204535131095,0
20,Control,6,39,Double,Neutral,down,right,418.4546893564392,0
20,Control,6,40,Spatial,Neutral,down,right,357.87225122132804,0
20,Control,6,41,None,Congruent,down,right,481.7045845227965,0
20,Control,6,42,Center,Congruent,down,right,358.5662939022236,0
20,Control,6,43,Double,Congruent,down,right,419.33689528703735,0
20,Control,6,44,Spatial,Congruent,down,right,338.04477511645433,0
20,Control,6,45,None,Incongruent,down,right,610.6719127440496,0
20,Control,6,46,Center,Incongruent,down,right,468.4167094873294,0
20,Control,6,47,Double,Incongruent,down,right,425.78367765214074,0
20,Control,6,48,Spatial,Incongruent,down,right,481.130446515064,0
