subnum,group,block,trial,cue,flank,location,direction,rt,error
17,Control,1,1,None,Neutral,up,left,397.6426030339994,0
17,Control,1,2,Center,Neutral,up,left,421.44205621771346,0
17,Control,1,3,Double,Neutral,up,left,373.27126276963145,0
17,Control,1,4,Spatial,Neutral,up,left,419.4665824574504,0
17,Control,1,5,None,Congruent,up,left,415.20191816642836,0
17,Control,1,6,Center,Congruent,up,left,446.225461264725,0
17,Control,1,7,Double,Congruent,up,left,314.8534099252006,0
17,Control,1,8,Spatial,Congruent,up,left,297.6021979809258,0
17,Control,1,9,None,Incongruent,up,left,516.3363805120104,0
17,Control,1,10,Center,Incongruent,up,left,407.02315541585256,0
17,Control,1,11,Double,Incongruent,up,left,536.1596702378102,0
17,Control,1,12,Spatial,Incongruent,up,left,401.4577456998324,0
17,Control,1,13,None,Neutral,down,left,413.64929587594435,0
17,Control,1,14,Center,Neutral,down,left,402.96035407193676,0
17,Control,1,15,Double,Neutral,down,left,353.72818105979235,0
17,Control,1,16,Spatial,Neutral,down,left,368.0306127915535,0
17,Control,1,17,None,Congruent,down,left,451.9961187140891,0
17,Control,1,18,Center,Congruent,down,left,409.7189297763291,0
17,Control,1,19,Double,Congruent,down,left,409.14718487601124,0
17,Control,1,20,Spatial,Congruent,down,left,291.23945821501854,1
17,Control,1,21,None,Incongruent,down,left,575.8078406658187,0
17,Control,1,22,Center,Incongruent,down,left,483.97371412702677,0
17,Control,1,23,Double,Incongruent,down,left,459.4925829193112,0
17,Control,1,24,Spatial,Incongruent,down,left,417.36591455132026,1
17,Control,1,25,None,Neutral,up,right,351.95192981514833,1
17,Control,1,26,Center,Neutral,up,right,367.7139655450439,0
17,Control,1,27,Double,Neutral,up,right,348.84220590767916,0
17,Control,1,28,Spatial,Neutral,up,right,464.2854816991196,0
17,Control,1,29,None,Congruent,up,right,516.2666257392907,0
17,Control,1,30,Center,Congruent,up,right,399.687549224504,0
17,Control,1,31,Double,Congruent,up,right,355.15648315309073,0
17,Control,1,32,Spatial,Congruent,up,right,377.9664920286134,0
17,Control,1,33,None,Incongruent,up,right,493.3367008818919,0
17,Control,1,34,Center,Incongruent,up,right,497.26238425087786,0
17,Control,1,35,Double,Incongruent,up,right,412.87823564585295,0
17,Control,1,36,Spatial,Incongruent,up,right,533.8976144336079,0
17,Control,1,37,None,Neutral,down,right,503.5135362082492,0
17,Control,1,38,Center,Neutral,down,right,389.8042535778783,0
17,Control,1,39,Double,Neutral,down,right,373.0020010033629,0
17,Control,1,40,Spatial,Neutral,down,right,296.3511353542015,0
17,Control,1,41,None,Congruent,down,right,428.97985725032345,0
17,Control,1,42,Center,Congruent,down,right,372.83852490885624,0
17,Control,1,43,Double,Congruent,down,right,377.26441810453684,0
17,Control,1,44,Spatial,Congruent,down,right,363.9218146534853,0
17,Control,1,45,None,Incongruent,down,right,526.2471533860489,0
17,Control,1,46,Center,Incongruent,down,right,579.317608308957,0
17,Control,1,47,Double,Incongruent,down,right,493.24827648434155,0
17,Control,1,48,Spatial,Incongruent,down,right,423.88134284023613,0
17,Control,2,1,None,Neutral,up,left,409.1931216518529,0
17,Control,2,2,Center,Neutral,up,left,389.35290547024186,0
17,Control,2,3,Double,Neutral,up,left,326.15280366565946,0
17,Control,2,4,Spatial,Neutral,up,left,310.4501635412331,0
17,Control,2,5,None,Congruent,up,left,476.3369189224769,0
17,Control,2,6,Center,Congruent,up,left,354.94377830099205,0
17,Control,2,7,Double,Congruent,up,left,377.8898508802027,0
17,Control,2,8,Spatial,Congruent,up,left,321.75465928169297,0
17,Control,2,9,None,Incongruent,up,left,505.99282889933585,0
17,Control,2,10,Center,Incongruent,up,left,447.20803757616017,0
17,Control,2,11,Double,Incongruent,up,left,522.1685981853311,0
17,Control,2,12,Spatial,Incongruent,up,left,422.05355224939683,0
17,Control,2,13,None,Neutral,down,left,438.7473267990027,0
17,Control,2,14,Center,Neutral,down,left,328.57045234771437,0
17,Control,2,15,Double,Neutral,down,left,401.1754283297679,0
17,Control,2,16,Spatial,Neutral,down,left,324.49986866134066,0
17,Control,2,17,None,Congruent,down,left,543.5787759155705,1
17,Control,2,18,Center,Congruent,down,left,480.6596995599091,0
17,Control,2,19,Double,Congruent,down,left,387.734248854175,0
17,Control,2,20,Spatial,Congruent,down,left,286.83634184506303,0
17,Control,2,21,None,Incongruent,down,left,538.9412868385264,0
17,Control,2,22,Center,Incongruent,down,left,508.3579889785309,0
17,Control,2,23,Double,Incongruent,down,left,444.52147014224494,0
17,Control,2,24,Spatial,Incongruent,down,left,485.52866764340683,0
17,Control,2,25,None,Neutral,up,right,407.8895796932474,0
17,Control,2,26,Center,Neutral,up,right,332.18244901003027,0
17,Control,2,27,Double,Neutral,up,right,422.22872651453554,0
17,Control,2,28,Spatial,Neutral,up,right,352.5622076866998,1
17,Control,2,29,None,Congruent,up,right,363.9206366501916,0
17,Control,2,30,Center,Congruent,up,right,348.2788701784701,1
17,Control,2,31,Double,Congruent,up,right,341.2021605095051,0
17,Control,2,32,Spatial,Congruent,up,right,293.15729647213715,0
17,Control,2,33,None,Incongruent,up,right,541.2814882262501,0
17,Control,2,34,Center,Incongruent,up,right,477.30914058917807,0
17,Control,2,35,Double,Incongruent,up,right,584.6345090972407,0
17,Control,2,36,Spatial,Incongruent,up,right,440.7415087823507,0
17,Control,2,37,None,Neutral,down,right,496.3209311230622,0
17,Control,2,38,Center,Neutral,down,right,432.61121848663606,0
17,Control,2,39,Double,Neutral,down,right,369.2021150201207,0
17,Control,2,40,Spatial,Neutral,down,right,351.5977059410601,0
17,Control,2,41,None,Congruent,down,right,502.90639651889103,0
17,Control,2,42,Center,Congruent,down,right,388.7288681820711,0
17,Control,2,43,Double,Congruent,down,right,347.3560885951493,0
17,Control,2,44,Spatial,Congruent,down,right,369.2839154987464,0
17,Control,2,45,None,Incongruent,down,right,497.7603752622324,0
17,Control,2,46,Center,Incongruent,down,right,508.37106770139496,0
17,Control,2,47,Double,Incongruent,down,right,509.77008657696115,0
17,Control,2,48,Spatial,Incongruent,down,right,472.0175090474372,0
17,Control,3,1,None,Neutral,up,left,426.5240325790278,0
17,Control,3,2,Center,Neutral,up,left,368.25556238999815,0
17,Control,3,3,Double,Neutral,up,left,453.4307868466286,0
17,Control,3,4,Spatial,Neutral,up,left,359.35692348629175,0
17,Control,3,5,None,Congruent,up,left,399.3596472140764,0
17,Control,3,6,Center,Congruent,up,left,372.6194458986924,0
17,Control,3,7,Double,Congruent,up,left,357.42301938075684,0
17,Control,3,8,Spatial,Congruent,up,left,313.02855901750837,0
17,Control,3,9,None,Incongruent,up,left,418.7825260965377,0
17,Control,3,10,Center,Incongruent,up,left,529.829380179136,0
