subnum,group,block,trial,cue,flank,location,direction,rt,error
1,Treatment,1,1,None,Neutral,up,left,398.6773094628834,0
1,Treatment,1,2,Center,Neutral,up,left,389.1821662111041,0
1,Treatment,1,3,Double,Neutral,up,left,333.21856937949764,0
1,Treatment,1,4,Spatial,Neutral,up,left,419.7640401068895,0
1,Treatment,1,5,None,Congruent,up,left,446.47538859076803,0
1,Treatment,1,6,Center,Congruent,up,left,338.9765807940992,0
1,Treatment,1,7,Double,Congruent,up,left,399.3714526214243,0
1,Treatment,1,8,Spatial,Congruent,up,left,376.9162352564608,0
1,Treatment,1,9,None,Incongruent,up,left,528.7890675826746,0
1,Treatment,1,10,Center,Incongruent,up,left,434.7305806421822,0
1,Treatment,1,11,Double,Incongruent,up,left,520.5890584225424,0
1,Treatment,1,12,Spatial,Incongruent,up,left,429.4921618205716,0
1,Treatment,1,13,None,Neutral,down,left,398.9379709729098,0
1,Treatment,1,14,Center,Neutral,down,left,269.265005641125,0
1,Treatment,1,15,Double,Neutral,down,left,431.24654590715545,0
1,Treatment,1,16,Spatial,Neutral,down,left,337.7533195492385,0
1,Treatment,1,17,None,Congruent,down,left,429.1904868450527,1
1,Treatment,1,18,Center,Congruent,down,left,427.19181053426496,0
1,Treatment,1,19,Double,Congruent,down,left,416.0610597549045,0
1,Treatment,1,20,Spatial,Congruent,down,left,369.69506606087543,0
1,Treatment,1,21,None,Incongruent,down,left,545.9488685804109,0
1,Treatment,1,22,Center,Incongruent,down,left,489.10681503655337,0
1,Treatment,1,23,Double,Incongruent,down,left,448.72824916825954,0
1,Treatment,1,24,Spatial,Incongruent,down,left,310.5324152068314,0
1,Treatment,1,25,None,Neutral,up,right,460.99128739473554,0
1,Treatment,1,26,Center,Neutral,up,right,377.19356302355,1
1,Treatment,1,27,Double,Neutral,up,right,367.2102246647335,0
1,Treatment,1,28,Spatial,Neutral,up,right,266.4623808050363,0
1,Treatment,1,29,None,Congruent,up,right,406.09249724456896,0
1,Treatment,1,30,Center,Congruent,up,right,400.8970780099851,0
1,Treatment,1,31,Double,Congruent,up,right,442.9339775764522,1
1,Treatment,1,32,Spatial,Congruent,up,right,334.86061363285023,1
1,Treatment,1,33,None,Incongruent,up,right,519.3835805779685,1
1,Treatment,1,34,Center,Incongruent,up,right,447.30974797085474,0
1,Treatment,1,35,Double,Incongruent,up,right,376.14702215856965,0
1,Treatment,1,36,Spatial,Incongruent,up,right,389.250271835016,0
