subnum,group,block,trial,cue,flank,location,direction,rt,error
16,Control,1,1,None,Neutral,up,left,488.9523396180191,0
16,Control,1,2,Center,Neutral,up,left,424.9964491136485,0
16,Control,1,3,Double,Neutral,up,left,362.4469511744371,1
16,Control,1,4,Spatial,Neutral,up,left,372.9850431735937,1
16,Control,1,5,None,Congruent,up,left,337.5844725278576,0
16,Control,1,6,Center,Congruent,up,left,348.382231898201,0
16,Control,1,7,Double,Congruent,up,left,401.21632324589405,1
16,Control,1,8,Spatial,Congruent,up,left,298.1687764731477,0
16,Control,1,9,None,Incongruent,up,left,379.3590144144751,0
16,Control,1,10,Center,Incongruent,up,left,464.1143236242664,0
16,Control,1,11,Double,Incongruent,up,left,460.51940533753464,0
16,Control,1,12,Spatial,Incongruent,up,left,379.8027152793305,0
16,Control,1,13,None,Neutral,down,left,344.9369878978962,0
16,Control,1,14,Center,Neutral,down,left,401.63859918007347,0
16,Control,1,15,Double,Neutral,down,left,428.68112674490214,0
16,Control,1,16,Spatial,Neutral,down,left,361.92574003125515,0
16,Control,1,17,None,Congruent,down,left,462.0321960436863,0
16,Control,1,18,Center,Congruent,down,left,439.21168039352733,0
16,Control,1,19,Double,Congruent,down,left,384.65657396281284,0
16,Control,1,20,Spatial,Congruent,down,left,383.2368927953314,0
16,Control,1,21,None,Incongruent,down,left,498.6973704406048,0
16,Control,1,22,Center,Incongruent,down,left,408.5793921419309,0
16,Control,1,23,Double,Incongruent,down,left,467.3863522842168,0
16,Control,1,24,Spatial,Incongruent,down,left,403.22860131332675,0
16,Control,1,25,None,Neutral,up,right,540.595375833827,0
16,Control,1,26,Center,Neutral,up,right,346.9306268103324,0
16,Control,1,27,Double,Neutral,up,right,406.4678091898986,0
16,Control,1,28,Spatial,Neutral,up,right,326.3874851066999,0
16,Control,1,29,None,Congruent,up,right,394.1395881923044,0
16,Control,1,30,Center,Congruent,up,right,370.2336912213252,0
16,Control,1,31,Double,Congruent,up,right,440.6632100987929,0
